bench,thread,task,duration,reference,TASK DEPENDENCY NEIGHBORS MASTER 1,TASK DEPENDENCY NEIGHBORS MASTER 2,TASK DEPENDENCY NEIGHBORS MASTER 4,TASK DEPENDENCY NEIGHBORS MASTER 8,TASK DEPENDENCY NEIGHBORS MASTER 16,TASK DEPENDENCY NEIGHBORS MASTER 24,TASK DEPENDENCY NEIGHBORS MASTER 32,TASK DEPENDENCY IN LINKED MASTER 1,TASK DEPENDENCY IN LINKED MASTER 2,TASK DEPENDENCY IN LINKED MASTER 4,TASK DEPENDENCY IN LINKED MASTER 8,TASK DEPENDENCY IN LINKED MASTER 16,TASK DEPENDENCY IN LINKED MASTER 24,TASK DEPENDENCY IN LINKED MASTER 32,TASK DEPENDENCY OUT LINKED MASTER 1,TASK DEPENDENCY OUT LINKED MASTER 2,TASK DEPENDENCY OUT LINKED MASTER 4,TASK DEPENDENCY OUT LINKED MASTER 8,TASK DEPENDENCY OUT LINKED MASTER 16,TASK DEPENDENCY OUT LINKED MASTER 24,TASK DEPENDENCY OUT LINKED MASTER 32,TASK DEPENDENCY INOUT LINKED MASTER 1,TASK DEPENDENCY INOUT LINKED MASTER 2,TASK DEPENDENCY INOUT LINKED MASTER 4,TASK DEPENDENCY INOUT LINKED MASTER 8,TASK DEPENDENCY INOUT LINKED MASTER 16,TASK DEPENDENCY INOUT LINKED MASTER 24,TASK DEPENDENCY INOUT LINKED MASTER 32,TASK DEPENDENCY OUT CHAIN MASTER 1,TASK DEPENDENCY OUT CHAIN MASTER 2,TASK DEPENDENCY OUT CHAIN MASTER 4,TASK DEPENDENCY OUT CHAIN MASTER 8,TASK DEPENDENCY OUT CHAIN MASTER 16,TASK DEPENDENCY OUT CHAIN MASTER 24,TASK DEPENDENCY OUT CHAIN MASTER 32,TASK DEPENDENCY INOUT CHAIN MASTER 1,TASK DEPENDENCY INOUT CHAIN MASTER 2,TASK DEPENDENCY INOUT CHAIN MASTER 4,TASK DEPENDENCY INOUT CHAIN MASTER 8,TASK DEPENDENCY INOUT CHAIN MASTER 16,TASK DEPENDENCY INOUT CHAIN MASTER 24,TASK DEPENDENCY INOUT CHAIN MASTER 32
taskbench_gnu_t1_n1000_d03.2,1,1000,03.2,0.003520,3.567684,3.590691,3.613698,3.660178,3.790092,3.940988,4.111469,3.546667,3.551435,3.569067,3.596747,3.681421,3.737557,3.839064,3.550720,3.551841,3.566766,3.593659,3.687835,3.734338,3.831923,3.546226,3.556073,3.568888,3.593922,3.685009,3.733397,3.844368,3.648353,3.663170,3.693962,3.764868,3.887308,4.024923,4.157436,3.651297,3.663301,3.695345,3.761399,3.890550,4.025018,4.153728
taskbench_gnu_t1_n1000_d06.4,1,1000,06.4,0.006907,6.975472,6.942701,6.943882,6.996691,7.123470,7.272089,7.442355,6.884313,6.889248,6.899464,6.934428,7.032192,7.073855,7.168221,6.883681,6.889808,6.900537,6.935990,7.034719,7.073736,7.178366,6.889331,6.885850,6.899107,6.935048,7.016051,7.072544,7.173252,6.988585,6.998158,7.032204,7.092404,7.225323,7.364082,7.493961,6.986499,6.997609,7.037067,7.092428,7.224905,7.362747,7.491839
taskbench_intel_t2_n5000_d03.2,2,5000,03.2,0.000659,2.067444,2.401564,3.262148,5.274975,9.445477,15.491078,23.400576,7.474399,18.080311,42.743914,97.130401,215.376954,357.253335,534.158471,17.644196,28.668687,51.033258,100.350983,211.020269,340.411060,497.769811,30.621717,48.998661,87.263861,169.339194,347.245951,555.262916,786.901143,3.660223,3.731310,3.787358,3.872533,4.189394,4.469421,4.767656,3.727496,3.758442,3.835492,3.998218,4.267104,4.544234,4.812956
taskbench_gnu_t1_n1000_d01.6,1,1000,01.6,0.001649,1.708424,1.719248,1.736462,1.785326,1.915634,2.057958,2.236617,1.672220,1.678145,1.692545,1.720202,1.822960,1.859474,1.958597,1.676822,1.677322,1.692820,1.719928,1.810849,1.858652,1.966465,1.675832,1.677454,1.690352,1.719558,1.813185,1.869059,1.974797,1.772904,1.791489,1.819944,1.884103,2.012825,2.149737,2.280474,1.772916,1.788473,1.824307,1.883245,2.013612,2.149999,2.279615
taskbench_mcc.openmp_t2_n5000_d0.1,2,5000,0.1,0.000022,2.607932,3.771005,5.423713,7.792716,11.448660,15.010655,18.682992,3.053093,4.426641,7.606902,13.312201,22.575598,32.797348,45.130870,3.656979,5.567594,9.545488,16.334746,27.247841,38.255599,51.722028,3.993638,5.797598,9.888134,17.125993,28.850102,39.686632,54.059989,3.033741,4.095016,7.112041,11.964722,16.906059,21.822605,27.456710,3.134568,4.094667,7.125990,12.071757,16.576467,20.121515,24.955192
taskbench_intel-17.0.1.132_t1_n1000_d06.4,1,1000,06.4,0.006842,6.890762,7.245779,7.385421,7.257581,7.099009,7.038152,6.899965,6.886852,6.888783,6.892312,6.894803,6.896389,6.903219,6.897295,6.894147,6.888318,6.893516,6.893516,6.899607,6.902981,6.897914,6.892943,6.890070,6.892312,6.893706,6.900334,6.903255,6.897891,6.893337,6.889284,6.893218,6.892872,6.897151,6.899309,6.897843,6.891596,6.889606,6.892240,6.894934,6.895745,6.899309,6.896794
taskbench_mcc.ompss_t1_n1000_d0.4,1,1000,0.4,0.000404,10.301578,15.036023,19.086397,26.403761,42.484474,63.034296,87.231052,7.562971,12.429881,34.338605,76.242781,176.704443,309.402919,472.631836,10.367072,17.207754,37.991548,80.890858,190.573931,334.830856,512.511051,10.489082,17.416894,38.783634,85.051417,201.134574,351.332247,544.710493,6.268442,8.192801,11.884475,19.471419,34.939539,55.274856,76.053894,6.613839,9.193563,14.183629,23.641658,43.679428,69.206583,94.912982
taskbench_intel_t2_n1000_d01.6,2,1000,01.6,0.001716,1.796055,3.957796,7.764387,15.058613,31.849086,62.583017,104.289329,7.179677,16.964674,40.349603,91.178846,210.801053,343.304145,498.904788,17.151105,27.272213,49.300575,99.006951,201.673424,322.121251,456.669319,29.596651,46.670699,83.831370,162.221301,318.310893,492.502403,696.117163,2.117252,2.174413,2.228749,2.323198,2.527070,2.777016,3.332615,2.174675,2.206337,2.247322,2.329063,2.534235,2.783942,3.322077
taskbench_mcc.openmp_t1_n1000_d03.2,1,1000,03.2,0.003217,6.424654,7.571423,8.701050,11.062491,14.919174,20.945370,27.707863,6.044674,7.007515,8.805990,11.939609,19.120073,26.285052,36.926889,6.259346,7.486558,9.706962,13.484240,22.169566,30.109942,40.754187,6.427228,7.925904,10.440028,14.508712,24.005628,32.790852,44.615591,6.165957,7.111430,8.663726,11.402595,16.710508,22.131062,27.334690,6.131840,7.180977,8.715963,11.420429,16.705167,22.110033,27.262044
taskbench_clang_t2_n1000_d03.2,2,1000,03.2,0.003448,1.942849,1.969051,2.022099,2.115643,2.268767,2.454197,2.683687,1.969433,1.996899,2.055740,2.181661,2.639616,3.426957,5.155671,1.964235,1.970589,2.005386,2.120411,2.537513,3.220415,4.530275,1.979101,1.977730,2.005732,2.118671,2.534366,3.240454,4.488111,3.822255,3.864050,3.946090,4.127955,4.460096,4.764616,5.117846,3.819883,3.866267,3.946364,4.121268,4.483950,4.826033,5.116665
