bench,thread,task,duration,reference,TASK DEPENDENCY NEIGHBORS MASTER 1,TASK DEPENDENCY NEIGHBORS MASTER 2,TASK DEPENDENCY NEIGHBORS MASTER 4,TASK DEPENDENCY NEIGHBORS MASTER 8,TASK DEPENDENCY NEIGHBORS MASTER 16,TASK DEPENDENCY NEIGHBORS MASTER 24,TASK DEPENDENCY NEIGHBORS MASTER 32,TASK DEPENDENCY IN LINKED MASTER 1,TASK DEPENDENCY IN LINKED MASTER 2,TASK DEPENDENCY IN LINKED MASTER 4,TASK DEPENDENCY IN LINKED MASTER 8,TASK DEPENDENCY IN LINKED MASTER 16,TASK DEPENDENCY IN LINKED MASTER 24,TASK DEPENDENCY IN LINKED MASTER 32,TASK DEPENDENCY OUT LINKED MASTER 1,TASK DEPENDENCY OUT LINKED MASTER 2,TASK DEPENDENCY OUT LINKED MASTER 4,TASK DEPENDENCY OUT LINKED MASTER 8,TASK DEPENDENCY OUT LINKED MASTER 16,TASK DEPENDENCY OUT LINKED MASTER 24,TASK DEPENDENCY OUT LINKED MASTER 32,TASK DEPENDENCY INOUT LINKED MASTER 1,TASK DEPENDENCY INOUT LINKED MASTER 2,TASK DEPENDENCY INOUT LINKED MASTER 4,TASK DEPENDENCY INOUT LINKED MASTER 8,TASK DEPENDENCY INOUT LINKED MASTER 16,TASK DEPENDENCY INOUT LINKED MASTER 24,TASK DEPENDENCY INOUT LINKED MASTER 32,TASK DEPENDENCY OUT CHAIN MASTER 1,TASK DEPENDENCY OUT CHAIN MASTER 2,TASK DEPENDENCY OUT CHAIN MASTER 4,TASK DEPENDENCY OUT CHAIN MASTER 8,TASK DEPENDENCY OUT CHAIN MASTER 16,TASK DEPENDENCY OUT CHAIN MASTER 24,TASK DEPENDENCY OUT CHAIN MASTER 32,TASK DEPENDENCY INOUT CHAIN MASTER 1,TASK DEPENDENCY INOUT CHAIN MASTER 2,TASK DEPENDENCY INOUT CHAIN MASTER 4,TASK DEPENDENCY INOUT CHAIN MASTER 8,TASK DEPENDENCY INOUT CHAIN MASTER 16,TASK DEPENDENCY INOUT CHAIN MASTER 24,TASK DEPENDENCY INOUT CHAIN MASTER 32
taskbench_intel-17.0.1.132_t1_n1000_d03.2_error,1,1000,03.2,0.000069,0.026050,0.003033,0.004502,0.034608,0.032541,0.003533,0.004774,0.002550,0.003243,0.041636,0.002696,0.002571,0.002407,0.021057,0.003371,0.030740,0.003218,0.022349,0.020907,0.026090,0.002761,0.003047,0.004477,0.002102,0.033894,0.002669,0.002767,0.002520,0.026255,0.026740,0.002216,0.017267,0.023680,0.002950,0.027207,0.003586,0.005077,0.002879,0.001905,0.033577,0.002755,0.002602
taskbench_mcc.ompss_t1_n1000_d0.2_error,1,1000,0.2,0.000010,1.018378,0.571371,0.565022,1.213205,1.358972,1.116638,5.671514,0.133822,0.267283,1.508201,3.941282,9.870281,18.669976,23.607589,0.230797,0.799258,1.631022,0.465057,1.464406,1.262986,19.354591,0.200242,0.464233,1.371583,0.714216,1.326686,2.844382,24.809365,0.132318,0.069531,0.164828,0.225750,0.375322,0.331258,0.858274,0.067248,0.079939,0.134209,0.209135,0.498061,0.623718,0.619396
taskbench_intel_t2_n1000_d0.1_error,2,1000,0.1,0.000006,0.608313,0.804857,1.390360,2.168121,7.186808,5.841909,13.990796,0.885371,1.734675,3.472482,6.205032,13.703063,16.681701,28.080366,0.576249,1.000081,2.095776,3.790079,6.924591,11.565046,23.009158,1.033280,2.089166,3.864407,5.475966,10.818579,23.156281,19.445718,0.129218,0.028896,0.025720,0.021086,0.138209,0.251600,0.079117,0.129313,0.020983,0.026811,0.032776,0.154678,0.223911,0.058691
taskbench_clang_t1_n1000_d0.2_error,1,1000,0.2,0.000012,0.020102,0.012781,0.006247,0.005688,0.013284,0.004651,0.004892,0.005722,0.005689,0.005544,0.007894,0.005526,0.005867,0.004789,0.009120,0.005861,0.005609,0.005774,0.005342,0.005609,0.004938,0.006033,0.005516,0.005917,0.005879,0.006520,0.005606,0.001196,0.005069,0.005563,0.005663,0.005742,0.005192,0.005180,0.001189,0.007637,0.005569,0.006149,0.005834,0.005555,0.012130,0.005073
taskbench_mcc.openmp_t2_n1000_d0.1_error,2,1000,0.1,0.000010,0.228270,0.349410,0.175291,0.311442,0.436997,0.694162,1.023717,0.099975,0.106134,0.186235,0.285597,0.647609,1.056797,0.899141,0.121012,0.142326,0.170660,0.544578,0.673571,1.052361,1.536873,0.110061,0.105335,0.148960,0.505079,0.857499,1.088587,1.739040,1.421098,0.684235,0.840346,2.704304,0.701166,1.065231,1.172076,1.271933,0.752289,0.950520,0.475635,0.920262,1.293278,1.517854
taskbench_intel-17.0.1.132_t2_n1000_d03.2_error,2,1000,03.2,0.000079,0.041092,0.029916,0.036563,0.037312,0.049153,0.034712,0.035349,0.034908,0.042006,0.053545,0.038529,0.040953,0.032628,0.028524,0.046330,0.040354,0.043520,0.037062,0.036792,0.035324,0.035749,0.039834,0.051168,0.038405,0.037941,0.030820,0.034134,0.040931,0.041541,0.032244,0.036750,0.051637,0.041687,0.040804,0.039729,0.036448,0.047341,0.037040,0.036144,0.042430,0.042501,0.041976
taskbench_gnu_t2_n1000_d0.1_error,2,1000,0.1,0.000007,0.027526,0.054138,0.056348,0.053397,0.112319,0.168805,0.198983,0.020643,0.037593,0.091641,0.050397,0.135636,0.093577,0.172800,0.020057,0.026198,0.076078,0.038571,0.143578,0.107544,0.090020,0.018226,0.032986,0.129921,0.068552,0.082388,0.077517,0.096803,0.240909,0.155260,0.087157,0.169602,0.120255,0.179090,0.216538,0.077161,0.105203,0.146825,0.097640,0.117354,0.104550,0.207539
taskbench_intel_t1_n1000_d0.1_error,1,1000,0.1,0.000002,0.013785,0.007704,0.007838,0.011109,0.012904,0.013167,0.014517,0.006751,0.012703,0.006461,0.006495,0.006336,0.018109,0.005912,0.016238,0.006629,0.006560,0.006763,0.006588,0.006345,0.009013,0.011087,0.006497,0.006497,0.005943,0.006126,0.006480,0.008823,0.008002,0.007649,0.006246,0.006307,0.007829,0.006622,0.009598,0.006490,0.006815,0.006237,0.006507,0.006276,0.006107,0.009565
taskbench_intel-17.0.1.132_t1_n1000_d0.4_error,1,1000,0.4,0.000015,0.023695,0.022043,0.019055,0.024251,0.013077,0.003061,0.016430,0.003007,0.003114,0.003188,0.002763,0.003800,0.002012,0.002385,0.021369,0.003563,0.010229,0.023195,0.018404,0.022764,0.023107,0.019578,0.023768,0.018505,0.024351,0.015358,0.024031,0.019944,0.018581,0.023406,0.018838,0.024698,0.015597,0.023929,0.015728,0.005240,0.001426,0.002119,0.001899,0.002810,0.001793,0.002926
taskbench_mcc.ompss_t1_n1000_d0.1_error,1,1000,0.1,0.000006,1.040459,0.633186,0.563738,1.048043,1.219363,1.261542,2.152207,0.130283,0.307277,1.499545,3.998488,9.889128,18.803537,24.987197,0.248701,0.815913,1.372112,0.456604,1.691550,1.323448,21.747281,0.180024,0.557720,0.300195,0.757737,1.294347,2.932987,24.355998,0.135939,0.044076,0.172699,0.178356,0.244658,0.503941,0.890978,0.095100,0.075614,0.104811,0.195785,0.593704,0.606339,0.616766
taskbench_mcc.openmp_t2_n1000_d03.2_error,2,1000,03.2,0.000297,0.276391,0.269225,0.322910,0.434492,1.137417,1.129234,1.125328,0.239641,0.183939,0.364488,0.270913,0.584545,0.636855,1.697089,0.313756,0.289083,0.376301,0.344107,0.926483,1.704486,2.108415,0.301162,0.257961,0.331545,0.392681,0.798778,1.569790,1.714245,1.840204,1.779232,1.816808,2.112210,3.590558,1.073690,0.964754,1.880345,1.876030,1.877776,1.739755,4.126884,2.651329,0.840636
taskbench_intel_t1_n1000_d0.4_error,1,1000,0.4,0.000009,0.022016,0.027034,0.041807,0.022363,0.001336,0.003167,0.001505,0.001592,0.018313,0.001375,0.001639,0.014195,0.001644,0.018944,0.021672,0.001334,0.001247,0.001325,0.018198,0.001622,0.001441,0.020939,0.001390,0.000858,0.016500,0.001373,0.002270,0.003384,0.002140,0.001455,0.001442,0.001358,0.001616,0.001513,0.027126,0.014053,0.001616,0.001461,0.031407,0.001481,0.001871,0.015729
taskbench_intel_t2_n5000_d0.4_error,2,5000,0.4,0.000006,0.140985,0.308013,0.368762,0.377903,0.880242,2.602247,3.314121,0.773176,1.805794,4.182804,7.952885,11.859379,17.091848,27.136355,0.922748,1.239149,2.895541,4.500208,10.249048,12.907317,23.076359,1.201218,2.586318,4.339356,7.219864,11.407897,15.078469,24.131608,0.058757,0.011816,0.008935,0.010094,0.014750,0.018729,0.697164,0.010609,0.008761,0.008582,0.011932,0.006950,0.013449,0.651468
taskbench_intel_t1_n1000_d012.8_error,1,1000,012.8,0.000023,0.105856,0.021829,0.025620,0.026829,0.028808,0.033585,0.037132,0.032716,0.019761,0.039047,0.038433,0.040269,0.025535,0.047049,0.040051,0.006052,0.033498,0.025225,0.027797,0.036639,0.042740,0.018991,0.033113,0.035315,0.053709,0.036002,0.044152,0.038067,0.003715,0.032825,0.038197,0.035705,0.036998,0.021923,0.025916,0.030625,0.029539,0.036549,0.033107,0.032709,0.019363,0.032224
taskbench_mcc.ompss_t1_n1000_d01.6_error,1,1000,01.6,0.000068,1.096671,0.549369,0.530786,1.015509,1.272241,1.075928,2.132152,0.141462,0.264628,1.463673,3.853723,9.290717,18.441820,20.671547,0.250414,0.895913,1.376143,0.463073,1.533714,1.355198,22.243865,0.234306,0.685640,0.313683,0.730579,1.411557,2.988876,23.801576,0.122049,0.034259,0.143797,0.165130,0.396905,0.307518,1.061175,0.102665,0.060098,0.105776,0.217131,0.519164,0.677058,0.600364
taskbench_gnu_t1_n1000_d0.4_error,1,1000,0.4,0.000008,0.023433,0.014573,0.088188,0.004131,0.004161,0.004055,0.004361,0.002226,0.002373,0.001469,0.002326,0.003120,0.004562,0.002828,0.002776,0.001628,0.002412,0.002569,0.002261,0.004464,0.017318,0.001979,0.020627,0.001950,0.002102,0.002727,0.002575,0.024514,0.002008,0.003769,0.003568,0.032828,0.003771,0.003208,0.003647,0.002539,0.003176,0.004140,0.003181,0.004186,0.005599,0.002949
taskbench_mcc.ompss_t2_n1000_d0.8_error,2,1000,0.8,0.000050,0.483391,0.236919,0.367749,0.392039,1.176746,1.797586,1.536424,0.430486,0.463054,1.131907,3.690958,6.527310,32.121248,22.033019,0.149780,0.291571,0.342705,0.904082,2.001067,3.132915,13.804847,0.229182,0.178297,0.371848,0.997150,2.581493,2.629324,15.590725,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
taskbench_gnu_t1_n1000_d01.6_error,1,1000,01.6,0.000031,0.076727,0.033661,0.004446,0.029052,0.004288,0.003785,0.006073,0.002629,0.005075,0.004227,0.004419,0.047673,0.004388,0.015977,0.002402,0.002659,0.003389,0.002775,0.027994,0.003180,0.026769,0.029221,0.002690,0.002688,0.003727,0.013825,0.024114,0.020482,0.003607,0.030561,0.005002,0.005768,0.004416,0.003199,0.004581,0.003975,0.004450,0.040199,0.003682,0.006454,0.003638,0.003934
taskbench_clang_t2_n1000_d0.2_error,2,1000,0.2,0.000017,0.041124,0.038211,0.022299,0.032264,0.036054,0.060385,0.052978,0.026569,0.023793,0.024910,0.035816,0.059127,0.127121,0.291631,0.025827,0.028520,0.023382,0.035669,0.056162,0.087146,0.092990,0.017106,0.021718,0.021685,0.023376,0.032835,0.156092,0.068228,0.022734,0.037883,0.028199,0.021969,0.046642,0.036497,0.048590,0.024314,0.030415,0.029694,0.030515,0.044348,0.347247,0.060306
taskbench_gnu_t1_n1000_d06.4_error,1,1000,06.4,0.000138,0.070757,0.060938,0.004352,0.039314,0.003784,0.039103,0.005143,0.027702,0.029182,0.002798,0.037858,0.008752,0.035140,0.019523,0.020430,0.033885,0.002503,0.048620,0.004042,0.043720,0.018203,0.042478,0.002394,0.003094,0.045529,0.005836,0.045708,0.023338,0.036204,0.003378,0.024601,0.003595,0.032094,0.026873,0.031735,0.032667,0.003444,0.051097,0.004126,0.027983,0.031248,0.030474
taskbench_mcc.ompss_t1_n1000_d03.2_error,1,1000,03.2,0.000148,1.087147,0.695048,0.656119,1.021394,1.272577,1.328896,2.189112,0.135574,0.281195,1.505199,3.750401,9.841745,18.762727,23.914806,0.226605,0.807774,1.382317,0.304899,1.727128,1.462261,19.271234,0.226312,0.493493,0.218602,0.717890,1.365231,2.922069,23.006802,0.124505,0.074853,0.143311,0.214986,0.373889,0.311448,0.844270,0.092968,0.105772,0.145294,0.177868,0.503649,0.512557,0.658945
taskbench_mcc.ompss_t2_n1000_d0.1_error,2,1000,0.1,0.000005,0.352376,0.182842,0.759955,0.738473,0.691737,1.135641,1.565931,0.188254,0.154890,1.661636,2.210812,8.674993,49.679712,39.083627,0.211551,0.202877,0.299014,2.657319,11.108925,11.456872,43.361939,0.186204,0.227526,0.398393,1.267802,4.061116,5.250087,12.365919,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
taskbench_mcc.openmp_t1_n1000_d012.8_error,1,1000,012.8,0.000032,0.238822,0.090788,0.069729,0.367878,0.357634,0.394822,0.841256,0.046836,0.037038,0.087861,0.152814,0.333796,0.177511,1.044738,0.063029,0.052619,0.059456,0.066065,0.239740,0.428567,3.093054,0.092926,0.111042,0.144427,0.170141,0.424274,0.711805,0.835281,0.137968,0.177578,0.136291,0.234564,0.234220,0.183519,0.300838,0.076501,0.092790,0.161488,0.229466,0.222165,0.264453,0.205895
taskbench_intel-17.0.1.132_t2_n1000_d06.4_error,2,1000,06.4,0.000151,0.036837,0.036777,0.020155,0.028502,0.043409,0.044079,0.051298,0.041098,0.035788,0.035668,0.039583,0.041613,0.048502,0.047402,0.036862,0.058420,0.045010,0.037420,0.040290,0.043380,0.055040,0.035928,0.040119,0.038667,0.047522,0.036295,0.062625,0.059871,0.075239,0.064774,0.057179,0.069287,0.057361,0.068386,0.054351,0.064475,0.065561,0.061363,0.055392,0.067458,0.056555,0.066389
taskbench_mcc.openmp_t2_n5000_d0.4_error,2,5000,0.4,0.000008,0.185402,0.286949,0.224873,0.849953,1.337559,2.482512,2.502407,0.078259,0.063469,0.228663,0.366832,0.657234,0.872295,1.700815,0.208788,0.119417,0.245502,0.625932,1.057293,1.170355,1.908352,0.153515,0.094482,0.190402,0.402377,0.859441,1.167058,1.879084,0.836461,0.529858,0.232707,0.292942,0.985073,1.752174,2.295193,0.525442,0.465856,0.162354,0.382993,0.867023,1.554158,1.977438
taskbench_clang_t2_n1000_d01.6_error,2,1000,01.6,0.000085,0.060646,0.032844,0.035639,0.028116,0.049162,0.034992,0.052612,0.029788,0.032699,0.027390,0.046458,0.040518,0.152308,0.288999,0.033450,0.032567,0.034165,0.031713,0.037770,0.043924,0.140919,0.028111,0.028971,0.032216,0.034106,0.032985,0.030178,0.030245,0.035894,0.037288,0.035866,0.050004,0.040750,0.051877,0.034795,0.034805,0.037374,0.034120,0.037568,0.047293,0.071336,0.044248
taskbench_intel_t2_n1000_d03.2_error,2,1000,03.2,0.000137,0.346652,0.745338,1.379662,1.920886,7.627736,8.481139,10.532834,0.502696,1.995057,3.118825,6.854907,13.203013,21.409765,27.768583,0.585182,1.114530,2.832847,3.139836,4.842538,11.971198,17.777242,0.942148,1.387412,2.969136,9.641574,9.624382,20.852686,27.367408,0.088344,0.079080,0.039385,0.042223,0.044946,0.052719,0.054677,0.046350,0.054154,0.056347,0.046319,0.054402,0.047801,0.052585
taskbench_mcc.openmp_t2_n1000_d0.4_error,2,1000,0.4,0.000041,0.295897,0.162843,0.208718,0.229112,0.412169,0.621624,1.577192,0.186504,0.100553,0.234155,0.289934,0.658432,0.656692,0.796138,0.136945,0.124812,0.262151,0.391231,0.831801,1.327145,2.035863,0.152474,0.125207,0.135334,0.834642,1.061614,1.324326,1.573711,1.310557,0.870650,0.371054,1.860379,1.432495,1.772903,1.534853,1.264851,0.852278,0.418185,2.134533,1.044308,1.009615,2.070506
taskbench_intel_t2_n5000_d012.8_error,2,5000,012.8,0.000077,0.081701,0.109405,0.142000,0.403067,1.209513,2.129394,2.122860,0.569563,1.742824,3.906436,6.489920,13.743070,20.307632,25.264618,0.478614,0.972549,2.158287,4.994008,10.555319,16.644874,25.983464,1.127731,1.734285,4.273909,4.499565,14.771078,18.667227,25.354683,0.064237,0.149531,0.026571,0.046344,0.881285,0.086049,0.077985,0.026442,0.058274,0.024422,0.101497,0.143135,0.152426,0.127972
taskbench_gnu_t2_n1000_d03.2_error,2,1000,03.2,0.000095,0.051378,0.046168,0.047889,0.043751,0.039600,0.053092,0.064400,0.037212,0.058227,0.026592,0.034543,0.031424,0.056788,0.077700,0.045345,0.023369,0.032911,0.030580,0.028524,0.038192,0.075390,0.036106,0.023306,0.038076,0.045548,0.024088,0.058379,0.051111,0.016175,0.041444,0.024329,0.028478,0.035739,0.035435,0.040413,0.026761,0.033691,0.023641,0.038074,0.025304,0.020898,0.219995
taskbench_clang_t2_n1000_d012.8_error,2,1000,012.8,0.000369,0.066018,0.089290,0.054618,0.054834,0.043255,0.137840,0.043748,0.075045,0.043683,0.070742,0.038181,0.098547,0.141719,0.164628,0.078594,0.027966,0.068711,0.079507,0.078922,0.074412,0.088683,0.053994,0.078934,0.050812,0.145273,0.039163,0.148735,0.155949,0.134611,0.050382,0.100459,0.045322,0.160941,0.140362,0.109588,0.138418,0.057946,0.136068,0.063242,0.120973,0.141632,0.099269
taskbench_intel-17.0.1.132_t1_n1000_d012.8_error,1,1000,012.8,0.000021,0.029139,0.041867,0.030487,0.042949,0.039290,0.003475,0.037691,0.006865,0.039669,0.038079,0.039662,0.036458,0.020113,0.033951,0.029902,0.051445,0.028981,0.049114,0.005171,0.022222,0.025741,0.027269,0.039980,0.049095,0.045809,0.002611,0.037004,0.040592,0.052827,0.044189,0.040871,0.025141,0.027347,0.046170,0.032474,0.034634,0.038098,0.004627,0.028784,0.028278,0.042853,0.034845
taskbench_gnu_t2_n1000_d01.6_error,2,1000,01.6,0.000047,0.047219,0.049989,0.055457,0.052948,0.047208,0.048174,0.143896,0.040275,0.038692,0.043816,0.053034,0.049104,0.066091,0.088247,0.034119,0.040869,0.054054,0.055526,0.043728,0.074618,0.086956,0.038544,0.037777,0.047734,0.060101,0.047951,0.061004,0.066229,0.034034,0.059013,0.046175,0.054454,0.045645,0.035052,0.040629,0.032166,0.076052,0.036769,0.017714,0.058459,0.039875,0.050198
taskbench_mcc.openmp_t1_n1000_d01.6_error,1,1000,01.6,0.000074,0.187037,0.103405,0.070915,0.351507,0.347578,0.379528,0.833641,0.020735,0.013429,0.094251,0.170564,0.302086,0.168957,1.107677,0.027165,0.039443,0.037511,0.112152,0.264408,0.432200,1.038159,0.086781,0.096724,0.131827,0.160966,0.514168,0.622899,0.732664,0.141820,0.148683,0.130558,0.234229,0.236875,0.217619,0.282109,0.060322,0.103565,0.159977,0.281975,0.239195,0.282720,0.238616
taskbench_mcc.openmp_t2_n1000_d0.8_error,2,1000,0.8,0.000082,0.414799,0.204616,0.246492,0.385637,0.475223,1.001655,1.446580,0.180853,0.261825,0.188699,0.435898,0.530726,0.949690,1.008273,0.158512,0.106110,0.209228,0.542186,0.856086,1.279056,1.231325,0.202645,0.102805,0.143377,0.527361,0.966304,1.019589,1.679059,1.483269,1.319906,0.761015,1.880427,0.773403,1.303115,1.635357,1.347284,1.532796,0.891283,1.937130,1.008302,1.975362,1.886406
taskbench_mcc.ompss_t1_n1000_d012.8_error,1,1000,012.8,0.000038,1.116047,0.652701,0.565495,1.029286,1.299432,1.160524,2.167271,0.147258,0.349704,1.453437,3.908425,9.965943,18.550887,22.212622,0.229139,0.784641,1.420282,0.426709,1.497344,1.228521,18.953100,0.223711,0.518012,0.184298,0.704049,1.402585,4.796410,24.795492,0.126255,0.073704,0.113765,0.160989,0.403435,0.369806,0.901664,0.097141,0.069760,0.106884,0.208204,0.534255,1.911287,0.558354
taskbench_intel_t2_n5000_d06.4_error,2,5000,06.4,0.000061,0.298420,0.349845,0.443585,0.549260,0.724044,0.671975,0.331418,0.448976,0.491431,0.543915,1.301101,2.668970,5.012059,6.297913,0.445946,0.616132,0.889720,0.756526,3.134868,4.009486,5.559841,0.590427,0.660805,1.446909,1.037338,1.752672,3.096409,4.999576,0.022575,0.055256,0.028390,0.289477,0.029923,0.208178,0.077260,0.279823,0.059517,0.432873,0.280667,0.064799,0.068783,0.044664
taskbench_intel_t2_n5000_d01.6_error,2,5000,01.6,0.000012,0.362683,0.440834,0.591219,0.657592,0.762704,0.712597,0.250395,0.551509,0.675132,0.554883,1.782398,2.544127,5.740699,7.678941,0.642747,0.795924,0.858240,1.882074,3.840108,2.173459,4.902657,0.577726,0.642818,0.770462,0.839927,1.911744,3.639115,4.578375,0.041146,0.015738,0.011067,0.030236,0.015052,0.061376,0.125147,0.016073,0.014938,0.007665,0.072473,0.061177,0.013322,0.014137
taskbench_intel_t2_n5000_d0.2_error,2,5000,0.2,0.000003,0.128363,0.226143,0.277775,0.458446,0.976401,2.315063,3.369536,0.966722,1.908047,2.881726,4.535604,15.446234,18.266126,24.438272,0.692751,1.475378,1.855035,6.319183,8.755909,14.816680,21.814845,0.925474,1.940174,4.766629,5.486317,12.970759,18.642371,28.138028,0.048080,0.015608,0.011842,0.007931,0.054807,0.387159,0.199515,0.017786,0.011569,0.010788,0.007758,0.058718,0.393291,0.206229
taskbench_mcc.ompss_t2_n1000_d0.2_error,2,1000,0.2,0.000010,0.282738,1.964154,0.495377,0.876493,0.767219,0.963895,1.574441,0.226734,0.363317,1.188027,3.673784,8.186753,74.370492,45.006383,0.209055,0.199948,0.211569,0.929192,1.467531,3.605744,18.445389,0.233409,0.223500,0.283133,0.758527,1.655606,3.175723,16.842171,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
taskbench_gnu_t2_n1000_d06.4_error,2,1000,06.4,0.000214,0.040383,0.051728,0.044238,0.031093,0.042646,0.045044,0.045331,0.039606,0.042757,0.036193,0.045588,0.042652,0.038004,0.063234,0.018345,0.023526,0.021636,0.067357,0.028460,0.034390,0.088473,0.037303,0.021962,0.027348,0.051789,0.049657,0.024031,0.048410,0.047575,0.013624,0.052128,0.042540,0.041746,0.044317,0.025439,0.449239,0.071322,0.143239,0.071345,0.115745,0.032618,0.045545
taskbench_gnu_t2_n1000_d0.8_error,2,1000,0.8,0.000020,0.034712,0.025906,0.030838,0.050432,0.082720,0.060792,0.177653,0.016661,0.022942,0.042506,0.053731,0.027074,0.069473,0.119705,0.013789,0.019720,0.049315,0.051399,0.039458,0.054943,0.084525,0.020018,0.022733,0.030694,0.051243,0.032550,0.040330,0.102366,0.023508,0.042398,0.035809,0.023387,0.037407,0.071339,0.108399,0.026322,0.032543,0.029882,0.013691,0.033653,0.074114,0.104106
taskbench_mcc.ompss_t2_n1000_d012.8_error,2,1000,012.8,0.000532,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
taskbench_mcc.ompss_t2_n5000_d0.4_error,2,5000,0.4,0.000005,0.141533,0.163635,0.098141,0.226769,0.380853,1.225660,0.903641,0.504382,0.860681,2.624198,3.637365,7.986560,29.709349,39.408591,0.795349,0.431245,0.694183,2.125518,9.006323,17.223178,28.013659,0.420685,0.610398,0.643928,1.551550,9.517896,21.422311,28.496655,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
taskbench_clang_t1_n1000_d01.6_error,1,1000,01.6,0.000105,0.005592,0.020978,0.004567,0.024392,0.004354,0.004233,0.004114,0.003138,0.001967,0.024806,0.001999,0.002281,0.023016,0.002667,0.002555,0.002300,0.002714,0.002420,0.002046,0.002146,0.002771,0.028887,0.001968,0.002073,0.002103,0.003945,0.002046,0.002763,0.020167,0.002002,0.026361,0.002910,0.002125,0.003062,0.003307,0.002499,0.023509,0.002025,0.002419,0.030608,0.002585,0.002802
taskbench_mcc.ompss_t1_n1000_d06.4_error,1,1000,06.4,0.000102,1.055557,1.985972,0.968081,1.025538,1.271904,1.418088,2.199987,0.127008,0.576931,1.518850,3.781409,10.080036,18.873291,23.736401,0.232339,0.921365,1.430655,0.670636,1.531530,1.319673,19.538977,0.200957,0.488275,0.258232,0.730775,1.312755,2.867797,23.347994,0.129657,0.103014,0.256758,0.211748,0.338983,0.289143,0.795888,0.090653,0.155069,0.099329,0.173777,0.506448,0.491304,0.624867
taskbench_mcc.ompss_t2_n1000_d0.4_error,2,1000,0.4,0.000018,0.307905,0.249566,0.203856,0.459803,0.819716,1.409042,1.961726,0.150520,0.296224,1.070596,3.162553,7.241553,26.760773,20.070786,0.150358,0.161262,0.267193,0.880012,2.073847,3.347694,15.943468,0.231474,0.201733,0.331731,0.833932,1.708355,4.319114,14.318082,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
taskbench_mcc.openmp_t2_n1000_d012.8_error,2,1000,012.8,0.001346,0.224900,0.238559,0.376161,0.529572,0.667441,1.008204,1.300053,0.208526,0.324758,0.584834,0.882260,1.108515,3.863974,1.349830,0.309584,0.454058,0.445233,0.837797,1.048429,1.793073,1.623011,0.345269,0.670722,0.786038,0.912070,1.124562,1.539228,1.894128,1.547253,1.575809,1.017033,1.832975,1.798392,1.923563,2.325228,1.652946,1.263946,1.172108,1.423013,1.401440,2.017674,2.014169
taskbench_clang_t2_n1000_d0.8_error,2,1000,0.8,0.000056,0.049489,0.030054,0.026049,0.040152,0.025183,0.041719,0.026679,0.023782,0.028082,0.016097,0.027579,0.105194,0.276202,0.372874,0.024464,0.025119,0.039421,0.028171,0.028437,0.035471,0.071311,0.025596,0.021003,0.024683,0.028097,0.056530,0.045210,0.042688,0.029965,0.020912,0.034462,0.035062,0.049100,0.051573,0.091105,0.034097,0.035605,0.037718,0.041370,0.041320,0.046279,0.052401
taskbench_gnu_t1_n1000_d012.8_error,1,1000,012.8,0.000032,0.033757,0.031843,0.045791,0.032360,0.043734,0.055114,0.017302,0.037570,0.039757,0.058167,0.037257,0.054538,0.061075,0.032800,0.032991,0.030865,1.042472,0.515209,0.359892,0.038773,0.030832,0.037065,0.030354,0.040492,0.038995,0.050836,0.029242,0.038328,0.037453,0.029136,0.030014,0.038999,0.038075,0.036584,0.019769,0.033414,0.030098,0.036263,0.036676,0.040794,0.036594,0.021978
taskbench_intel-17.0.1.132_t1_n1000_d06.4_error,1,1000,06.4,0.000020,0.003512,0.484126,0.105062,0.209479,0.095595,0.176443,0.002409,0.002871,0.003260,0.007487,0.034117,0.024065,0.038204,0.002709,0.044816,0.003170,0.020523,0.032300,0.030208,0.035441,0.002842,0.043364,0.002806,0.022340,0.020321,0.025985,0.025687,0.002870,0.042786,0.004039,0.020060,0.026282,0.021903,0.024605,0.003067,0.035346,0.003988,0.019875,0.023922,0.023493,0.025385,0.003338
